"clave";"coddivisa";"valor"
"US01C";"USD";"0.01"
"US05C";"USD";"0.05"
"US10C";"USD";"0.10"
"US25C";"USD";"0.25"
"US50C";"USD";"0.50"
"US01D";"USD";"1"
"US02D";"USD";"2"
"US05D";"USD";"5"
"US10D";"USD";"10"
"US20D";"USD";"20"
"US50D";"USD";"50"
"US100D";"USD";"100"
