"clave";"coddivisa";"valor"
"EU01C";"EUR";"0.01"
"EU02C";"EUR";"0.02"
"EU05C";"EUR";"0.05"
"EU10C";"EUR";"0.10"
"EU20C";"EUR";"0.20"
"EU50C";"EUR";"0.50"
"EU01E";"EUR";"1"
"EU02E";"EUR";"2"
"EU05E";"EUR";"5"
"EU10E";"EUR";"10"
"EU20E";"EUR";"20"
"EU50E";"EUR";"50"
"EU100E";"EUR";"100"
"EU200E";"EUR";"200"
"EU500E";"EUR";"500"
